No.,idle_delta,internal_delta,internalhard_delta
1,0.010843,0.012359,0.076683
2,0.011159,0.011376,0.019212
3,0.011271,0.010642,0.019337
4,0.026091,0.010854,0.019091
5,0.011172,0.01078,0.019285
6,0.011043,0.010869,0.018879
7,0.011097,0.011123,0.018647
8,0.011281,0.010845,0.018988
9,0.011358,0.011332,0.018797
10,0.011419,0.011712,0.018934
11,0.022645,0.010571,0.018867
12,0.02674,0.011042,0.018665
13,0.01179,0.010799,0.019141
14,0.011163,0.010792,0.0193
15,0.013736,0.010667,0.018549
16,0.010844,0.012056,0.019381
17,0.011002,0.01087,0.019028
18,0.011461,0.010962,0.019333
19,0.011283,0.011314,0.019117
20,0.011577,0.010794,0.019225
21,0.010998,0.011123,0.019138
22,0.011157,0.015479,0.018344
23,0.011619,0.01083,0.019059
24,0.011599,0.011444,0.019113
25,0.011227,0.017408,0.019543
26,0.010933,0.010782,0.018872
27,0.011107,0.012295,0.019382
28,0.011213,0.010684,0.018874
29,0.011149,0.011646,0.01866
30,0.01113,0.01558,0.019351
31,0.011079,0.011253,0.019086
32,0.011463,0.010685,0.025134
33,0.01119,0.010677,0.019043
34,0.017264,0.011161,0.020235
35,0.010972,0.011023,0.018666
36,0.011314,0.010879,0.01931
37,0.011289,0.025511,0.01951
38,0.010998,0.011139,0.024392
39,0.012224,0.020582,0.018736
40,0.011424,0.010745,0.019276
41,0.010827,0.011672,0.01915
42,0.010805,0.010898,0.01889
43,0.011378,0.010731,0.019844
44,0.01107,0.010548,0.019417
45,0.011116,0.010883,0.030937
46,0.01127,0.010785,0.018714
47,0.011103,0.010909,0.01942
48,0.011158,0.010763,0.019437
49,0.011693,0.014749,0.019661
50,0.011457,0.018467,0.024706
51,0.011125,0.011264,0.019107
52,0.011578,0.010543,0.018966
53,0.021305,0.010821,0.018776
54,0.011067,0.011276,0.01884
55,0.011167,0.011019,0.018611
56,0.011654,0.010647,0.018983
57,0.021196,0.010805,0.035626
58,0.011983,0.011068,0.019343
59,0.010867,0.01087,0.018753
60,0.011166,0.010814,0.019009
61,0.010933,0.010902,0.019004
62,0.011254,0.010509,0.018938
63,0.011394,0.012464,0.019775
64,0.011077,0.010681,0.018812
65,0.011588,0.010905,0.018724
66,0.010877,0.010761,0.018558
67,0.010977,0.010876,0.018676
68,0.012983,0.010783,0.018957
69,0.012063,0.010879,0.018833
70,0.011515,0.010734,0.019632
71,0.011118,0.010737,0.031522
72,0.012971,0.010841,0.027136
73,0.011858,0.010742,0.019965
74,0.011235,0.010618,0.019318
75,0.012359,0.010649,0.018893
76,0.011984,0.010995,0.019371
77,0.011086,0.01095,0.019064
78,0.010947,0.010761,0.018556
79,0.011069,0.021769,0.0197
80,0.011266,0.048028,0.018784
81,0.01117,0.011375,0.01853
82,0.010995,0.010634,0.018738
83,0.011056,0.010837,0.019286
84,0.011571,0.011231,0.01855
85,0.011397,0.010811,0.019007
86,0.010975,0.010614,0.01896
87,0.011303,0.025872,0.01884
88,0.011566,0.010914,0.018805
89,0.028937,0.010606,0.019645
90,0.011001,0.01077,0.018375
91,0.011096,0.010723,0.019286
92,0.012276,0.011009,0.01869
93,0.02545,0.010859,0.019382
94,0.010877,0.010995,0.018581
95,0.011746,0.010943,0.028097
96,0.01127,0.010966,0.029192
97,0.011642,0.010961,0.019083
98,0.011107,0.010793,0.018941
99,0.01137,0.010636,0.019635
100,0.015016,0.01071,0.01855
